"Account Name","AE Forecast Notes"
"Northgate Capital Management LLC","4/9/26: Customer health: 7. Note about health; health flag is red as the previous champion and main user retired and they have 0 modeling hours in the last 6 months. Predictive AI client.
Update: On 4/1 followed up with David on the proposal for the Q2 renewal 

Next 3 steps:
1. Follow up with CRO and other team members
2. Check on feedback about the proposal with David
3. Coordinate demo for generative ai on the week of 4/13 or 4/22

n 3/26 sent times for agentic demo and emailed David the proposal for the Q2 renewal 

On 3/19 met with David, Portfolio Manager, and Peter, end user.

3/9/26: Followed up with David and Peter on times to meet.
Next steps: 

3/5/26: Reached out to David Peterson, Portfolio Manager and one of our main points of contact to coordinate time

3/4/26: Reached out to Mehmet Yilmaz, Chief Risk Officer, and David Peterson. EB, Thomas Kim, and previous main user, Peter Chang, left company. I don't have notes from previous csm.

Next steps: 
1. Follow up with CRO and other team members
2. Send out proposal.
3. Send out an invite to make introductions."
"Summit Community Bank","Apr 08, 2026 
Renewal Forecast Update

Date: April 8, 2026

Health score: 1
Issue: Technical / Product blocker

What Changed WOW:
Customer explicitly stated they do not intend to renew and are moving to an internally built tool. Confirmed non-renewal for 5/31.

The 5 Checks

Tech Win (TW): Not Started

Notes / Evidence: Customer is moving to an internally built tool developed by Danny. Cited ""last mile"" friction where DataDavidot required the calling system to perform feature engineering, whereas their internal tool allows for a simple API call (passing only an ID).

Legal Complete (LC): Not Started

Notes / Evidence: No legal progress; customer intent is to let the subscription expire.

EBS Signoff (EBS): Not Started

Notes / Evidence: Decision-makers (Spencer and Danny) confirmed the shift to an internal strategy and declined right-sizing or GenAI pivot attempts.

Chriseline Understood (TU): Confirmed

Notes / Evidence: Confirmed non-renewal for 5/31.

Pricing Agreed (PA): Not Started

Notes / Evidence: Customer declined right-sizing offers; no pricing will be agreed upon as they are churning.

Remaining Risk
Confirmed churn. The customer has successfully deployed their internal replacement (Probability of Default model) and feels the DataDavidot integration is too heavy for their developers.

Mar 30, 2026 - First meeting with customer today, and they told me they do not intend to renew.

Next Steps:

Status: Confirmed Non-Renewal for 5/31.

Primary Loss Reason: Competition (In-house/Internal Build).

Secondary Loss Reason: Product Gap / Technical Friction (Difficulty with production feature engineering/API integration).

Customer Feedback: The customer felt the ""last mile"" of integration was too heavy for their developers. They required a way to trigger data preprocessing/queries via an API call (e.g., passing only an ID), which they didn't feel was adequately supported even after meeting with our technical teams.

Mar 18, 2026 -

Customer health: 7

Another one I just took over, we have time on with them 3/30 week. The prior AM has told me they have given verbal commit, but I will have a better understanding next week.

Next 3 steps (to commit): 
1. Meet with them for intros.
2. On the agenda we also have current priorities and initiatives and then we also have renewal.
3. Discuss renewal on that call and get an order form out, renewal is quickly approaching so I want to get that out ASAP after that call.


Mar 13, 2026 - Meeting at the end of the month so will know more that will be our initial handoff call

AG Feb 26, 2026 - Jennifer Walsh and Michael Torres intro'd to me as of this morning. I have setup time with them for intros at the end of March, we will be talking more about current initiatives and their upcoming renewal. As of now we consider them green

MM 11.18.25
- spoke with Jennifer Walsh (EB) and Michael Torres (analyst). this is budgeted for next year - they said it should be a smooth process but to reach out in late March to reconnect on this

MM 11.5.25
1. Have you started renewal discussions? N 
- renewal is 5/31/26. I recently inherited this account. I have tried reaching out to Jennifer Walsh to setup intros but have not heard back.
2. Have we received a clear verbal commitment to renew? N
- unclear. I can't find any information on this account in Slack or Google Drive. hoping EB will take a meeting
3. Have we secured a C-level or IT meeting to discuss Agentic solutions? N
- need to get intro at the bank
4. Is the customer's estimated ROI for predictive or agentic solutions documented? N
- I haven't found anything on their usage of the platform"
"Meridian Online University Inc.","April 2, 2026 - Health: 7 - Weak Upside

Note about health: Account is historically a ""flat"" renewer with a 4.5% standard YOY increase ($87k–$90k range).  The customer recently requested a seat reduction (5 to 3) and has pivotally ""lost interest"" in GenAI/Agents since Jan 2026, likely due to On-Prem technical hurdles. 

Update: Official transition to Ana Rodriguez. Confirmed MSA/Order Form is with MOU Purchasing. We are holding the line on the 5-user minimum and the $3k incremental standard increase.

Next 3 steps (to commit):

Paperwork Sprint: Push Lisa Chen to finalize the MSA in April to ensure no On-Prem license expiration/lockout in May.

GenAI Resuscitation: Use the 4/13 sync to understand why they went from ""building use cases"" in Sept to ""no interest"" in Jan. Determine if this was a technical blocker we can solve with the new CITO."
"Northern Territory Safety Authority","Apr 2, 2026 - Health: 3 - technical gap (IT/Architecture) & value gap (v8 limitations)

Customer is a high churn risk and ""likely not to renew"" the current $84k on-prem instance. Internal IT is a strict Microsoft shop and is blocking the Kubernetes upgrade required for v11. Because they are stuck on legacy v8, the business (FIU) cannot access the Jupyter Notebooks and GenAI/NLP capabilities they need to drive value.

Update: Held an alignment call with partner Paul Martinez (Vertex Consulting), Tom M., and Jamie K. Mark confirmed they are ""likely to not renew"" the $84k flat renewal. We aligned on a 12-month ""Bridge Year"" survival strategy: dropping unused services and discounting to $35.5k to accommodate their budget pressure and keep the logo. However it is not a guarantee the customer will sign. 

Next 3 steps (to commit): 1. Ana to send the finalized $35.5k bridge quote to Mark.
2. Mark to socialize the bridge pricing with the FIU business unit to secure verbal agreement.
3. Deploy their 31 unused project hours to scope an Azure STS migration (buys our Architecture team a runway to bypass IT completely next year)."
"Prestige Live Events","Apr 08, 2026 - Continuous outreach to the EB to attempt to have a conversation on the renewal

Apr 01, 2026 - Still working to engage with the EB, he has went radio silent on meeting following our first email he sent regarding scheduling.

Mar 18, 2026 -
Customer health: 5 

I have been attempting to meet with the EB, he reached out Friday about scheduling some time. I sent some time to him but nothing back yet, very much a lack of engagement. Came to me already in omitted, but with the EB willing to meet I think there may be some life.

Next 3 steps (to commit): 
1. Coordinate time to meet with the EB ASAP
2. Understand current initiatives and priorities for them and if it makes sense to keep DataDavidot in some capacity. From my understanding they were building a ticket pricing model in the past.
3. If lack of engagement see if we can stay on in the ML experimentation portion only to stick around.

Mar 13, 2026 - Working to set up time with Ryan next week

12/1/25 - Followed up with Ryan today asking when he can connect and that we have a commitment to help them be more successful. First model still not deployed due to limited bandwidth of Ryan.

10/22/25
1. Have you started renewal discussions? N (Recommended >5 months out)
If 'N': When is the renewal date, and what is the plan to engage within the next 30 days? - The renewal date is June 5, 2026. Our main contact, Ryan has not been very responsive throughout onboarding. Based on our interactions, he's happy with Taylor and Leo's service, but has been very busy. Supposedly, he's working with 13 other startups as an advisor/consultant. We've reached out to confirm the implementation approach several times, but he has not been responsive. I'll follow up before the end of the week sharing availability, and if no response after that, I'll share a calendar invite asking him to propose an alternative time if needed. 
2. Have we received a clear verbal commitment to renew? No.
If 'N': What specific business challenge or competing priority is currently preventing a commitment? - Ryan is very busy. Next step is to confirm our implementation approach and deploy the first model with him. 
3. Have we secured a C-level or IT meeting to discuss Agentic solutions? No. 
If 'N': What is the plan to get on their calendar in Q4/Q1? (e.g., Champion-led intro, direct outreach with a case study) - We haven't gotten over Ryan's head yet, but I think we're getting close to wanting to do that. The owner of the company, Scott should be aware that any hold up is a result of Ryan's non responsiveness. I can talk to Taylor and Leo about the best way to communicate as we do not want to damage the relationship that we've built with our champion. 
4. Is the customer's estimated ROI for predictive or agentic solutions documented? No. 
If 'N': What is the one key business metric we will use to build a use case for ROI? (e.g., developer hours saved, improved model accuracy
- Taylor has done an excellent job of measuring and sharing model accuracy, but ROI will largely depend on volume of tickets bought/sold. With the predictive model not implemented, we don't have an estimate for how many predictions will be made, tickets bought, sold, etc.

Yellow = Customer may renew, concessions needed (at the moment, Ryan is busy, but we need to get his attention/interest)."
"DriveNow Marketplace","Apr 08, 2026 - 
Health score: 3
Issue: Value gap 

What Changed Week Over Week (WOW)
Customer sentiment moved toward a ""slash-and-burn"" mindset, explicitly stating a target budget of $20k—well below the current $65k renewal level.  We were attemtping to meet with a contact who Tony mentioned had a lot of use and success and she is now insisting on no meeting.

The 5 Checks

Tech Win (TW): In Progress
Notes / Evidence: The primary ""Highest Bid"" project failed in production. Stakeholders are currently auditing to see if it can be saved, but sentiment is that it is ""dead in the water"". Claude and SageMaker are being used for newer workloads due to speed and cost.
+4

Legal Complete (LC): Not Started
Notes / Evidence: No legal review has been initiated as the technical and commercial path is still fundamentally in question.

EB Signoff (EBS): In Progress
Notes / Evidence: Brad Collins (Decision Maker) is engaged but skeptical. He is currently focused on cost-cutting and has not signed off on a path forward beyond a potential ""life support"" SKU.
+3

Chriseline Understood (TU): Not Started
Notes / Evidence: A documented signature timeline has not been validated as the customer is still in the ""autopsy"" phase of their primary project.

Pricing Agreed (PA): Not Started
Notes / Evidence: Major misalignment exists. The customer threw out a $20k ""price anchor,"" while the current spend is $65k. No commercial terms have been accepted.


Remaining Risk
The customer views Claude + Snowflake as a faster, cheaper alternative, and their main DataDavidot project's failure has removed the primary justification for their current spend levels. 
+1

Next 3 Customer-Visible Steps

Technical ""autopsy"" support for Highest Bid Model -> Jordan -> 4/10 

Intro call with Jennifer Santos (SageMaker user) -> Jordan -> 4/10 

Send 1-pagers on Agentic Governance for 10-30 agents -> Jordan -> 4/13 

Support Needed: Manager alignment
Shane is highly skeptical and in a ""slash-and-burn"" mindset regarding software costs; leadership involvement may be needed to validate the value narrative and ""Life Support"" SKU pricing. 
+2

You said
Correct formatting

AE Forecast Excellence
Custom Gem
AE Forecast Excellence said
Renewal Forecast Update

Health score: 3
Issue: Value gap

What Changed Week Over Week (WOW)
Customer sentiment moved toward a ""slash-and-burn"" mindset. Following a project failure in production, the customer explicitly stated a target budget of $20k—$30k, which is a significant reduction from the current $65k renewal level.

The 5 Checks

Tech Win (TW): In Progress
Notes / Evidence: The primary ""Highest Bid"" project failed in production. Stakeholders are currently auditing to see if it can be saved, but sentiment is that it is ""dead in the water."" Claude and SageMaker are being used for newer workloads due to speed and cost.

Legal Complete (LC): Not Started
Notes / Evidence: No legal review has been initiated as the technical and commercial path is still fundamentally in question.

EB Signoff (EBS): In Progress
Notes / Evidence: Brad Collins (Decision Maker) is engaged but skeptical. He is currently focused on cost-cutting and has not signed off on a path forward beyond a potential ""life support"" SKU.

Chriseline Understood (TU): Not Started
Notes / Evidence: A documented signature timeline has not been validated as the customer is still in the ""autopsy"" phase of their primary project.

Pricing Agreed (PA): Not Started
Notes / Evidence: Major misalignment exists. The customer threw out a $20k ""price anchor,"" while the current spend is $65k. No commercial terms have been accepted.

Remaining Risk
The customer views Claude + Snowflake as a faster, cheaper alternative. The failure of their primary DataDavidot model has removed the main justification for current spend levels, leading to a high risk of significant downsell or non-renewal.

Next 3 Customer-Visible Steps

Technical ""autopsy"" support for Highest Bid Model -> Jordan -> 4/10

Intro call with Jennifer Santos (SageMaker user) -> Jordan -> 4/10

Send 1-pagers on Agentic Governance for 10-30 agents -> Jordan -> 4/13

Apr 02, 2026 1:03 PM  - This was a transition call as Jordan takes over for Tony. The renewal is currently at high risk. The customer’s primary high-value project (Highest Bid Model) has failed to produce results in production, and they are aggressively exploring cheaper or more integrated alternatives like Claude (Anthropic), SageMaker, and Snowflake’s native AI capabilities.

Key Discovery & Pain Points
Project Failure: The ""Highest Bid Model/Auction Velocity"" project—the main driver for their DataDavidot spend—was run as a 50/50 split experiment in production. It yielded no significant difference in profit or velocity compared to the baseline.

""Autopsy"" Phase: The team is conducting a final 1-2 week audit to see if the model can be saved, but sentiment is that it is ""dead in the water.""

Competitive Pressure: * Claude (Anthropic): The team is seeing high ""velocity"" here. A project that took weeks in DataDavidot was replicated in 2 days using Claude.

Connectors: They are heavily invested in Snowflake, Atlassian, and Airtable. Claude’s native connectors to these tools have created a ""lights on"" moment for them.

SageMaker: Other internal teams (Jennifer/David) have migrated to SageMaker since it is ""already included"" in their AWS spend.

Budget Consolidation: The company is in a heavy cost-cutting phase, even questioning legacy contracts like Salesforce and Tableau due to AI's ability to replicate their functionality.

Renewal Outlook
Current Status: Likely non-renewal at current levels ($65k).

The ""Life Support"" Option: Shane is open to a ""minimal access"" or ""just in case"" contract to keep the tool available for future projects.

Target Price Point: Shane explicitly mentioned a budget of $20k - $30k (1/3 to 1/2 of current spend) for a base package (5 deployments, limited seats).

Next Steps & Strategy
Technical Save: Jordan to offer technical resources to assist with the ""autopsy"" of the Highest Bid Model to see if DataDavidot's expertise can uncover why backtests didn't align with production.

Pivot to Governance: Jordan introduced DataDavidot’s Agentic AI governance and monitoring capabilities. While the customer is building agents elsewhere, they acknowledged the future need for governing an autonomous workforce.

Follow-up Action: Jordan to send ""Better Together"" stories regarding SageMaker integration and 1-pagers on Agentic Governance.



Mar 18, 2026 
Customer health: 8

First meeting with them at the end of the month. Tony has assured me they are in good health and have given verbal commit to renew.

Next 3 steps (to commit): 
1. Meet with DriveNow Marketplace team last week of March
2. Go through intros and talk future plans of DataDavidot, additionally Tony has shared they may want to add on more deployments so discuss rightsizing their contract and adding any additional products they might need.
3. Get OF out with updated contract.

Mar 13, 2026 - Meeting with them at the end of the month for full on handoff, and renewal conversation.

Feb 26, 2026 - Transition from Tony Dorr to Jordan Gemondo underway. 

Next Steps:
Execute a ""Value Realization"" QBR Instead of a standard check-in, host a Quarterly Business Review (QBR) with Brad Collins and the technical leads (Rainier Sabangan and Jennifer Santos).

Quantify the financial impact of the ""Highest Bid Prediction"" model and the efficiency gains from the Snowflake automation.Goal: Secure an executive ""win"" story to justify the renewal budget.

2. Perform a Capacity & License AuditWith the original ""Advanced"" package capped at 10 users and 5 deployments, we need to evaluate if these limits are now throttling their growth. Tony mentioned he believes there may be interest to grow deployments and users.

Action: Review current usage metrics with the Dedicated CSM and AI Architect.

Goal: Use the ""Brand Churn"" and ""Factoring Approvals"" roadmap  as the catalyst to propose a tier upgrade or additional worker/deployment units.

3. Strategic ""Handover & Roadmap"" Deep Dive

Formally transition the relationship from Tony Dorr to Jordan Gemondo by leading a roadmap session.

Goal: Move DriveNow Marketplace from a ""Use Case"" customer to a ""Platform"" customer by aligning DataDavidot with their 2026 corporate objectives.


Oct 21, 2025

Green 
1. Have you started renewal discussions? N (Recommended >5 months out)
They are on a 1 year contract and it is too early to start renewal conversations. 
DriveNow Marketplace has already purchased more deployments and has seen a lot of value in DataDavidot.
We will start renewal conversations in January - February of 2026. 

2. Have we received a clear verbal commitment to renew? N
There is currently no risk with this customer churning. 

3. Have we secured a C-level or IT meeting to discuss Agentic solutions? N
We are planning to have a c-level presentation on our agentic solution in early 2026 to align to their renewal in June.

4. Is the customer's estimated ROI for predictive or agentic solutions documented? Y
3x time savings for building ML models compared to snowflake notebooks 
100k - 500k estimated ROI from Auction velocity use case"
"Curi Holdings, Inc.","4/9/26: Customer Health: 7. Customer is currently using datarobot for insurance claims use cases and is planning to keep developing new use cases. Last action: 4/8: Met Joseph, Data Scientist, and Tommy, System Administrator. Sent proposal for renewal to Stephanie, VP, Data & Strategic Operations.
Updates: 
1. Follow up on next steps for renewal
2. Invite Stephanie, VP, Data & Strategic Operations, to meet 
3. Continue to align on 2026 goals and priorities.

 4/8. Followed up On Prem customer that had a recent outage and.

on 4/1 sent an invite to Joe and Tommy to make introductions on

3/4/26: Introduced myself to Joseph/Joe, Senior Data Scientist ande Tommy Lokey	 system administrator 

Nov 05, 2025 


1. Have you started renewal discussions?

No. Renewal due on June 30th 2026. Plan to engage EB by end of November for an EBR and Agentic positioning. 


2. Have we received a clear verbal commitment to renew? Y/N

No. No renewal discussion yet. Will update after EBR in November. 

3. Have we secured a C-level or IT meeting to discuss Agentic solutions? 

No. Chief Analytics Officer is EB. Will position agentic solutions discussion during November EBR

4. Is the customer's estimated ROI for predictive or agentic solutions documented? 

No. On-prem customer that has been historically reserved about sharing their value / AI consumption metrics."
"Hometap Equity Partners, LLC","Apr 07, 2026 -

Health score: 8

What Changed WOW: Customer agreed to evaluate agentic expansion and pricing scenarios following scheduled demo (4/10)

TW: Confirmed
Evidence: Predictive solution validated with technical stakeholders and currently in production use. Working to win Agentic
LC: In progress
Evidence: Confirmed no legal review needed for predictive renewal. Legal review may be needed for agentic

EBS: Confirmed
Evidence:  Eric Chacon (CIO) confirmed intent to renew during March discussion.

TU: In Progress
Notes: Approval process and signature timeline still being confirmed with EB, but we're waiting to know if they want only pred or pred/agentic

PA: In progress
Notes: Pricing options shared; customer reviewing right-sizing and agentic expansion scenarios.

Remaining Risk: Approval timeline and pricing alignment not yet confirmed with EB.

Next 3 Customer-Visible Steps
Agentic capability demo → DR → Apr 10
Approval timeline alignment discussion with EB → Customer + DR → 4/10
Pricing scenario review and selection → Customer → 4/13

Support Needed: None at this time


Apr 01, 2026 - Demo scheduled for 4/10 with Leo and Shreya from the DR side. Doing a demo with EB (CIO) and champion on agentic AI to show product roadmap.

Mar 18, 2026 
Customer health: 8

Working to just iron out the renewal and what package/years they want. We have a verbal commit from the EB and champion but ironing out details now. Also, they currently have only pred, they are asking to see agentic capabilities because they may add that on to their package as well 
Next 3 steps (to commit): 
1. Internal sync with our team to prepare the agentic demo, and talk about the roadmap of agentic as that's something they've asked
2. Setup time for agentic demo with Hometap team for CIO and champion
3. Post demo finalize details for renewal and get OF out 

Mar 17, 2026 - Met with Hometap team yesterday to present renewal options to them. Sending over the document. Nest steps

Giving their team a roadmap session on where we are now with agentic and where we see it going. Presenting to CIO and other DS on their team.

Looking to align a TSM and a person from product on for this call.

Mar 11, 2026 - Presenting the Hometap team with renewal options next Monday. They've asked to see renewal options for 1,2 and 3 year types as well as some with more/less software. I've put together 3 different offers with different years as well. Additionally we've added in some of the contracts the ability to add GenAI and keep their rate flat.

Next steps:
1. Meet with the team and present offers Monday
2. Further discuss roadmap to see if genAI/Agentic AI makes sense for projects moving forward. In the past they've mentioned GenAI and wanting to add it on.
3. Finalize renewal deals after conversation

Feb 23, 2026 
WHO : Bobby Kelsey, Sr Manager Data & Analytics, David Johnson, Director of Data Products
WHAT : 2/9 we had an EBR. They're happy with the renewal and have said they intend to renew. Working with Tom Mailloux tomorrow to present them with 1,2, & 3 year renewal options as they've asked to see all 3.
WHAT : N/A. Have alignment from the CIO at this point so I feel confident we're not at risk. He was on the last call and emphasized Bobby and David's intention to renew
WHEN : 3/9, we will present them with the renewal docs. I intend to send them over ahead of time, and ideally finalize the renewal that day 
WHO : N/A


Nov 05, 2025 -

1. Have you started renewal discussions? Not yet, working on a few high priority projects with Matthias currently, I believe they will renew due to how happy they are and how much they use us for now + the ideas they have for future use.
2. Have we received a clear verbal commitment to renew? Not yet, I have not directly asked it yet.
3. Have we secured a C-level or IT meeting to discuss Agentic solutions? CIO has been on some calls around predictive, typically just listens in and doesn't add much context. I believe our champions would be willing to at least gauge his interest on agentic for us to see if a pitch is possible. They have interest in generative, so I think maybe a hybrid generative/agentic pitch could be the answer.
4. Is the customer's estimated ROI for predictive or agentic solutions documented? No, but they are very happy customers at this time. I will work to put a number on it though.


Aug 16, 2024 Interested in GenAI - pitching POV and narrowing in on business value use case - demo coming up 8/26

Feb 27, 2024 Happy customer - checking to see if there is interest for Chrise Series / Gen AI"
"American First Finance","4/9/26: Customer health: 9. Technical gap: Generative AI feedback wasn't positive, customer wants to remove it on the renewal. Update/last action: 4/9 Sent order form to sign
Next items: 
1. Feedback with product team and Wallace.
2. Send out proposal to Ana from First Cash to sign
3. Follow up after call with Tyler Brooks and Wallace for agentic on 3/31

4/3 CRO of American First Finance and I was able to get a verbal commit to close on April. It will be a down sell, but doing my best to keep as much ARR as possible considering I am also trying to push to a multiyear as they are pushing back on it.

4/1 Send out discounted offering to Wallace (waiting on Tom's approval). I'm also working to schedule a call with the product team so their CRO can share feedback. 

3/31: We met with the Chief Risk Officer and Head of DS to go over the agentic library. They are not interested on the agentic offering and working to convince them to keep agentic/generative ai and renew on Q1.

3/31: The meeting reviews American First Finance's use of DataDavidot's generative and agentic AI applications, discusses technical limitations due to data connectivity, and explores available product templates and deployment options. The client confirms their current setup will remain cloud-based with data push mechanisms, and expresses limited ability to adopt agentic features due to infrastructure constraints. No immediate changes are planned, but the team will revisit agentic capabilities in six to twelve months and awaits a proposal for predictive-only access.

3/30: We are meeting with the Chief Risk Officer and Director of DS tomorrow to go over the agentic library. I'll try to pull this into this quarter, but I'm also trying to convince them to keep the Gen AI SKU as they only asked to renew for the predictive. They found some gaps with the Gen AI piece since they are not fully connected to DataDavidot. I can share more updates after our call tomorrow. I'm also working to schedule a call with the product team so their CRO can share feedback. 

On 3/24 I sent options to Wallace to meet with product and Austin, senior DS. On 3/26 followed up with Wallace and sent an invite to meet on 3/31

3/19/26: QBR with Wallace, CRO, and Ken, Director of DS.

3/19/26: Customer Health: 9. Notes about health: Customer is very happy with predictive ai modeling. Wallace, CRO, didn't think Gen AI is strong and wants to remove it from the renewal. Update: Met with Wallace, CRO and EB, and Ken, Champion and Leader of DS, for a qbr. We discussed their predictive modeling makes DataDavidot one of their top tooling for analytics. Using now Querychat for agents.
Next steps:
1. Follow up on TTMD vs Querychat feedback on a feedback call with CRO and our product team (waiting on product to help with this request)
2. Check on proposal feedback with Wallace 
3. Follow up on development of use case pipeline for bank and cash flow scoring

3/9/2026: Confirmed meeting on 3/12 with Wallace, CRO. 

Sent proposal to Wallace, CRO, the proposal on 2/11 and followed up on 2/17

1/11/26: Started working with Wallace on the renewal. 

02/03/26: Checked with Wallace on Hackathon outcome and ask if they want to pursue any of the projects with agentic

12/01/2025:
Predictive AI experience is good, Agentic AI experience has been bumpy. Will check with Wallace, CRO, on 2026 goals and understand where the renewal is at. 

Dec 14, 2023 asked CSM when next point is (email sent 11/29) looking to position genAI. Meeting schedule 1/9 will prep before with Anana"
"Veem","Apr 08, 2026 

Health Score: 7
Issue: Technical / Product blocker

What Changed WOW
Sent over the Order Form (OF) today. The support ticket for serverless migration is in the final testing phase with the customer; once confirmed, this removes the primary technical blocker.

The 5 Checks

Tech Win (TW): In Progress
Notes: Customer is currently happy with the platform, but the serverless migration has been a blocker. Parallel model running issues were resolved previously; waiting on final test results from Varinder next week to confirm the serverless fix.

Legal Complete (LC): Confirmed
Notes: Flat renewal proposed via OF; no indications of new legal review required for this term.

EB Signoff (EBS): In Progress
Notes: Champion (Varinder) is aligned and ""happy with the platform."" Need to transition from the technical fix into a formal sign-off conversation with the EB.

Chriseline Understood (TU): Confirmed
Notes: Renewal is July 2026. OF has been delivered well in advance to ensure a smooth path to signature.

Pricing Agreed (PA): In Progress
Notes: OF sent based on a flat renewal proposal. Final confirmation of pricing acceptance is expected following the resolution of the serverless migration.

Remaining Risk
Momentum often stalls when the champion (Varinder) becomes busy; need to ensure the technical fix doesn't drag into another two-week silence. Additionally need to have next conversations on agentic with Varinder on use cases he shared.

Next 3 Customer-Visible Steps

Confirm final test results for serverless migration → Varinder → Apr 10

Pivot to Agentic AI discussion and use case workshop → Varinder + DR DS Team → Apr 17

Schedule alignment call with Varinder and EB to finalize renewal → Jordan + Varinder → Apr 24



Apr 01, 2026 - Sent over OF today, working to also schedule a conversation with our champion on agentic as he has some ideas for agents. I believe we have fixed the other end of the support ticket, he told me he will run final tests next week and let me know, but has been overly busy the past 2 weeks,

Mar 18, 2026 -
Customer health: 7

I would put this higher if we could get this serverless migration handled. I believe we will have it done ideally by the end of this week, but that's been a blocker. Our team has been on it, but Varinder is sometimes slow to get back with us and we lose the momentum on the projects when he stops responding.

Next 3 steps (to commit): 
1. Ensure we get this finalized asap and get the support ticket handled to get them to serverless
2. After figuring things out then setup a conversation with him and the EB. Varinder mentioned they are happy with the platform besides this small issue they've been facing. 
3. Fix issue and pivot into agentic as that's also something they want to discuss. I want to fix the issue on the predictive side first as that's what they use us for mainly 

Mar 11, 2026 - Met with Varinder, (champion). He had some issues running models in parallel that was the main priority for them to get corrected. Support helped them solve it and they are now happy with that again.

Next 3 actions: Check in with Varinder at the end of this week to see how internal use cases discussions around agentic and gen AI are progressing.

Set up a call with our data science team and Veem to discuss use cases and where we can add agentic/Gen into their current processes, as this is something of interest to Veem.

Explore other predictive use cases where we may be able to become even more sticky within Veem.

Feb 26, 2026 - Meeting with Varinder next week to discuss the renewal

Feb 23, 2026 - 
WHO : Varinder Singh, Data Scientist
WHAT : Spoke with Varinder about a month ago, working to set him up with a genAI/Agentic demo.
WHAT : Varinder hs told me many times they're happy with the tool. He is a tough guy to get on a meeting. I'm confident in the renewal, I think there is opportunity to grow it just may take longer
WHEN : Working to schedule it as we speak, I sent an email out last week to have a conversation on renewal terms.
WHO :N/A

Nov 05, 2025 -

1. Have you started renewal discussions? At this time no, working to get intro'd in. Old users will not respond to me, working to expand and get time on with main user as we've been successful prior with them.
2. Have we received a clear verbal commitment to renew? No, still trying to meet with them.
3. Have we secured a C-level or IT meeting to discuss Agentic solutions? No
4. Is the customer's estimated ROI for predictive or agentic solutions documented?  The last year, their model’s detection rate improved from 60% to 80%, significantly reducing fraudulent activity and transactions. Again have been struggling to get set-up with the champion there currently."
"Curative","4/9/26: Customer health: 6. Note about health: Brand new to the account and don't have much context on the current status. The account has low usage.
Update: 4/9: followed up with JB on feedback and asked to meet to align on next steps for renewal.
Next steps: 
1. Follow up on proposal for renewal
2. Schedule Agentic ai demo
3. Keep aligning on 2026 priorities

 On 3/31 followed up with JB on feedback about the proposal ad next steps.

3/26: Meeting with Isaac, CTO, VP of Engineering - JB, and Rich - New engineering manager of the platform.


3/5/26: Reached out to Isaac, CTO, to coordinate call

3/4/26: Waiting on Tony to share context on the account


Oct 21, 2025
Yellow
1. Have you started renewal discussions? N (Recommended >5 months out)
Curative is still 7-8 months out from their contract renewal 
Our focus is on value and helping them deliver AI apps and their GenaI use cases 
We have met with C-level at our nvidia event in san jose and also have interest from his team to evaluate automl 

2. Have we received a clear verbal commitment to renew? Y/N
Curative is still 7-8 months out from their contract renewal 
Our focus is on value and helping them deliver AI apps and their GenaI use cases 
My plan for the renewal is to revisit in January and understand their 6 month roadmap and ask if their contract was up today if they would renew. 
We are focused on supporting their new term low hanging fruit use cases and then transitioning to higher value enterprise use cases for 2026

3. Have we secured a C-level or IT meeting to discuss Agentic solutions? NY
Curative already has our GenAI offering 
Curative is planning to evaluate AutoML for 2026

4. Is the customer's estimated ROI for predictive or agentic solutions documented? N 
No ROI at the moment
We are focused on identifying quick wins with TTMD and TTMdocs"
